Ora;17 Gen;16 Feb;16 Mar;15 Apr;15 Mag;11 Giu;17 Lug;16 Ago;15 Set;15 Ott;14 Nov;10 Dic
03:00 CET;;;;;;;;;;;;
04:00 CET;;;;;;;;;;;;
05:00 CET;;;;;1°38';4°26';2°08';;;;;
06:00 CET;;;;4°06';11°23';13°56';11°38';6°36';0°31';;;
07:00 CET;;;4°36';14°28';21°37';24°02';21°43';16°53';10°55';4°06';;
08:00 CET;0°15';5°53';14°43';24°47';32°01';34°24';32°06';27°16';21°04';13°44';6°06';1°08'
09:00 CET;8°34';14°48';24°07';34°37';42°10';44°42';42°24';37°20';30°32';22°21';14°04';8°58'
10:00 CET;15°26';22°21';32°15';43°21';51°29';54°24';52°06';46°29';38°40';29°21';20°22';15°12'
11:00 CET;20°19';27°57';38°22';49°59';58°53';62°28';60°13';53°45';44°34';34°01';24°28';19°22'
12:00 CET;22°47';30°56';41°35';53°15';62°30';66°47';64°53';57°38';47°13';35°43';25°53';21°04'
13:00 CET;22°33';30°56';41°16';52°12';60°50';65°13';64°04';56°51';45°57';34°08';24°29';20°06'
14:00 CET;19°38';27°54';37°30';47°10';54°39';58°40';58°10';51°40';41°07';29°34';20°24';16°35'
15:00 CET;14°22';22°18';30°59';39°23';45°54';49°35';49°27';43°39';33°40';22°38';14°07';10°53'
16:00 CET;7°14';14°44';22°35';30°03';35°59';39°29';39°31';34°06';24°36';14°05';6°09';3°27'
17:00 CET;;5°49';13°01';19°55';25°38';29°06';29°09';23°53';14°39';4°28';;
18:00 CET;;;2°50';9°32';15°18';18°50';18°50';13°30';4°18';;;
19:00 CET;;;;;5°19';9°00';8°52';3°19';;;;
20:00 CET;;;;;;;;;;;;
21:00 CET;;;;;;;;;;;;
