Ora;17 Gen;16 Feb;16 Mar;15 Apr;15 Mag;11 Giu;17 Lug;16 Ago;15 Set;15 Ott;14 Nov;10 Dic
03:00 CET;;;;;;;;;;;;
04:00 CET;;;;;;;;;;;;
05:00 CET;;;;;115°35';119°02';119°07';;;;;
06:00 CET;;;;99°25';105°10';108°53';108°47';103°21';94°17';;;
07:00 CET;;;82°14';88°42';94°53';98°54';98°42';92°49';83°25';73°41';;
08:00 CET;58°44';64°57';71°00';77°25';84°00';88°27';88°11';81°47';71°57';62°14';55°57';54°33'
09:00 CET;47°25';53°09';58°36';64°39';71°29';76°29';76°17';69°18';59°02';49°30';43°55';43°06'
10:00 CET;34°55';39°54';44°17';49°13';55°43';61°15';61°22';54°02';43°43';34°55';30°31';30°29'
11:00 CET;21°08';24°56';27°28';29°52';34°16';39°36';40°46';34°15';25°15';18°20';15°44';16°41'
12:00 CET;6°18';8°28';8°19';6°30';5°57';8°36';11°53';9°11';4°00';0°20';0°03';2°04'
13:00 CET;-8°54';-8°37';-11°43';-17°59';-24°04';-25°32';-20°51';-17°51';-17°47';-17°42';-15°38';-12°40'
14:00 CET;-23°35';-25°04';-30°32';-39°36';-48°15';-51°41';-47°22';-41°18';-37°24';-34°21';-30°26';-26°45'
15:00 CET;-37°10';-40°01';-46°54';-56°58';-65°54';-69°35';-66°01';-59°26';-53°48';-49°00';-43°51';-39°43'
16:00 CET;-49°27';-53°15';-60°50';-70°58';-79°26';-82°51';-79°52';-73°37';-67°29';-61°47';-55°53';-51°28'
17:00 CET;;-65°03';-72°59';-82°54';-90°48';-93°53';-91°15';-85°30';-79°23';-73°16';;
18:00 CET;;;-84°06';-93°49';-101°13';-104°00';-101°33';-96°16';-90°22';;;
19:00 CET;;;;;-111°31';-114°00';-111°39';-106°48';;;;
20:00 CET;;;;;;;;;;;;
21:00 CET;;;;;;;;;;;;
