Azimuth;Altezza solare
0.00; 9.00
11.00;9.00
11.00;6.80
19.00;6.80
22.00;7.00
26.00;8.50
32.00;9.00
44.00;11.80
52.00;13.50
56.00;14.00
59.00;14.00
63.00;14.50
67.00;16.00
72.00;15.00
74.00;15.20
85.00;11.30
94.00;10.50
95.00;8.00
108.00;7.20
114.00;9.80
115.00;8.00
120.00;8.00
125.00;8.00
128.00;9.00
132.00;11.00
142.00;11.50
148.00;11.50
148.00;15.20
160.00;21.00
178.00;19.50
193.00;15.20
193.00;18.50
200.00;20.50
210.00;18.00
224.00;21.30
246.00;19.00
248.00;19.50
255.00;19.00
263.00;20.00
273.00;15.80
273.00;14.80
289.00;12.00
306.00;16.50
318.00;16.00
327.00;16.00
350.00;7.20
357.00;6.70
357.00;9.00
360.0;9.00
