"Time","T0129",""
"and","500.00",""
"Date","Dir. Vento (�)",""
"","Mean","Qual"
00:00:00 01/10/2012,         341,      1,Sites:
00:00:00 02/10/2012,          26,      1,T0129 - Trento (Laste) Lat:46.071801 Long:11.135703 Elev:312
00:00:00 03/10/2012,          52,      1,
00:00:00 04/10/2012,          58,      1,Variables:
00:00:00 05/10/2012,          48,      1,500 - Direzione vento media (gradi)
00:00:00 06/10/2012,          42,      1,
00:00:00 07/10/2012,          41,      1,Qualities:
00:00:00 08/10/2012,          18,      1,1 - Dato buono
00:00:00 09/10/2012,          14,      1,"140 - dato incerto, per analisi climatiche o malfunzionamento stazione"
00:00:00 10/10/2012,           1,      1,255 - No data
00:00:00 11/10/2012,          46,      1
00:00:00 12/10/2012,         352,      1
00:00:00 13/10/2012,         337,      1
00:00:00 14/10/2012,          34,      1
00:00:00 15/10/2012,         333,      1
00:00:00 16/10/2012,         342,      1
00:00:00 17/10/2012,          18,      1
00:00:00 18/10/2012,          13,      1
00:00:00 19/10/2012,          10,      1
00:00:00 20/10/2012,         358,      1
00:00:00 21/10/2012,         357,      1
00:00:00 22/10/2012,          31,      1
00:00:00 23/10/2012,          30,      1
00:00:00 24/10/2012,          34,      1
00:00:00 25/10/2012,          34,      1
00:00:00 26/10/2012,          11,      1
00:00:00 27/10/2012,         309,      1
00:00:00 28/10/2012,         354,      1
00:00:00 29/10/2012,         348,      1
00:00:00 30/10/2012,          15,      1
00:00:00 31/10/2012,         325,      1
00:00:00 01/11/2012,         322,      1
00:00:00 02/11/2012,          32,      1
00:00:00 03/11/2012,         360,      1
00:00:00 04/11/2012,         307,      1
00:00:00 05/11/2012,         346,      1
00:00:00 06/11/2012,           5,      1
00:00:00 07/11/2012,           0,      1
00:00:00 08/11/2012,          24,      1
00:00:00 09/11/2012,          14,      1
00:00:00 10/11/2012,         317,      1
00:00:00 11/11/2012,         330,      1
00:00:00 12/11/2012,         342,      1
00:00:00 13/11/2012,         340,      1
00:00:00 14/11/2012,         343,      1
00:00:00 15/11/2012,          12,      1
00:00:00 16/11/2012,          20,      1
00:00:00 17/11/2012,           4,      1
00:00:00 18/11/2012,         351,      1
00:00:00 19/11/2012,         347,      1
00:00:00 20/11/2012,          16,      1
00:00:00 21/11/2012,         331,      1
00:00:00 22/11/2012,         337,      1
00:00:00 23/11/2012,         355,      1
00:00:00 24/11/2012,           1,      1
00:00:00 25/11/2012,         358,      1
00:00:00 26/11/2012,         313,      1
00:00:00 27/11/2012,          57,      1
00:00:00 28/11/2012,         321,      1
00:00:00 29/11/2012,         314,      1
00:00:00 30/11/2012,         349,      1
00:00:00 01/12/2012,           5,      1
00:00:00 02/12/2012,           2,      1
00:00:00 03/12/2012,           4,      1
00:00:00 04/12/2012,         359,      1
00:00:00 05/12/2012,          10,      1
